id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
IND,India,Asia,Southern Asia,Left,3287260,1428627663,2485,3031000,New Delhi,2611000000000,20.593684,78.96288,North,434.6,False,1,42,51.8M-1.4B,1.0M-17.1M km²,Giant ($2T-$10T),$1.6K-$3.8K,500K+,302-19.0K /km²,1,26+,Tropical (10° to 25°),Central Asia (60° to 100°),0,0
CHN,China,Asia,Eastern Asia,Right,9562910,1410710000,12614,2695000,Beijing,19910000000000,35.86166,104.195397,North,147.52,False,1,57,51.8M-1.4B,1.0M-17.1M km²,Superpower ($10T+),$7.2K-$13.9K,500K+,103-161 /km²,1,26+,Subtropical (25° to 40°),East Asia (100° to 140°),2,2022
USA,United States,Americas,Northern America,Right,9831510,334914895,81695,1359000,"Washington, D.C.",21427700000000,37.09024,-95.712891,North,34.07,False,11,25,51.8M-1.4B,1.0M-17.1M km²,Superpower ($10T+),$32.6K-$128.3K,500K+,19-44 /km²,6+,11-25,Subtropical (25° to 40°),Americas (-100° to -50°),8,2028
IDN,Indonesia,Asia,South-Eastern Asia,Left,1916907,277534122,4941,676000,Jakarta,1119190780753,-0.789275,113.921327,South,144.78,False,3,10,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$3.8K-$7.2K,500K+,103-161 /km²,3-5,6-10,Equatorial (-10° to 10°),East Asia (100° to 140°),0,0
PAK,Pakistan,Asia,Southern Asia,Left,796100,240485658,1407,936000,Islamabad,304400000000,30.375321,69.345116,North,302.08,False,1,6,51.8M-1.4B,456.9K-1.0M km²,Mid-Size ($100B-$500B),$200-$1.6K,500K+,161-302 /km²,1,6-10,Subtropical (25° to 40°),Central Asia (60° to 100°),0,0
NGA,Nigeria,Africa,Sub-Saharan Africa,Right,923770,223804632,1621,215000,Abuja,448120428859,9.081999,8.675277,North,242.27,False,1,2,51.8M-1.4B,456.9K-1.0M km²,Mid-Size ($100B-$500B),$1.6K-$3.8K,150K-500K,161-302 /km²,1,1-2,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
BRA,Brazil,Americas,Latin America And The Caribbean,Right,8515770,216422446,10044,730000,Bras���,1839758040766,-14.235004,-51.92528,South,25.41,False,4,23,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$7.2K-$13.9K,500K+,19-44 /km²,3-5,11-25,Southern (-30° to -10°),Americas (-100° to -50°),1,2016
BGD,Bangladesh,Asia,Southern Asia,Left,147570,172954319,2529,221000,Dhaka,302571254131,23.684994,90.356331,North,1172.02,False,1,3,51.8M-1.4B,88.2K-206.5K km²,Mid-Size ($100B-$500B),$1.6K-$3.8K,150K-500K,302-19.0K /km²,1,3-5,Tropical (10° to 25°),Central Asia (60° to 100°),0,0
RUS,Russia,Europe,Eastern Europe,Right,17098250,143826130,13817,1454000,Moscow,1699876578871,61.52401,105.318756,North,8.41,False,9,32,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$7.2K-$13.9K,500K+,2-19 /km²,6+,26+,Northern (55°+),East Asia (100° to 140°),2,2014
MEX,Mexico,Americas,Latin America And The Caribbean,Right,1964375,128455567,13926,336000,Mexico City,1258286717125,23.634501,-102.552784,North,65.39,False,3,35,51.8M-1.4B,1.0M-17.1M km²,Major ($500B-$2T),$13.9K-$32.6K,150K-500K,44-72 /km²,3-5,26+,Tropical (10° to 25°),Far West (< -100°),1,1968
ETH,Ethiopia,Africa,Sub-Saharan Africa,Right,1136240,126527060,1294,138000,Addis Ababa,96107662398,9.145,40.489673,North,111.36,True,1,11,51.8M-1.4B,1.0M-17.1M km²,Developing ($25B-$100B),$200-$1.6K,50K-150K,103-161 /km²,1,11-25,Equatorial (-10° to 10°),Middle East (30° to 60°),0,0
JPN,Japan,Asia,Eastern Asia,Left,377974,124516650,33834,261000,Tokyo,5081769542380,36.204824,138.252924,North,329.43,False,1,26,51.8M-1.4B,206.5K-456.9K km²,Giant ($2T-$10T),$32.6K-$128.3K,150K-500K,302-19.0K /km²,1,26+,Subtropical (25° to 40°),East Asia (100° to 140°),4,2020
